"id","name","description","circuit_type","exercises_json","default_rounds","default_duration_seconds","bucket_stress","tags","difficulty_tier","fatigue_factor","stimulus_factor","min_recovery_hours","muscle_volume","muscle_fatigue","total_reps","estimated_work_seconds","effective_work_volume"
"134","CrossFit Thursday 260101",":

Happy New Year's Eve! Today’s workout is a Hero. If you have completed this workout in the past, look at your previous score to help navigate today’s attempt. Before the start of this workout, take a brief moment to remember why you are doing it — everybody has their own reasons. As always with a Hero workout, this is going to be a grind. Choose movement variations and loadings that allow you to keep moving.


Scaling:

Reduce the loading of the barbell and plate. Reduce the distance of each run. Reduce the reps of each movement.


To reduce the complexity of the squat cleans, perform a hang squat clean. For the box jumps, reduce the height of the box. For the overhead walking lunges, perform walking lunges with a single dumbbell in the goblet position.


In case of injury or limitation, for the run, perform 3,200/4,000 meters on the rower or ski erg or 7,000/10,000 meters on the Echo bike. For the squat cleans, perform power cleans, plus a front squat, or power cleans if there is a squatting limitation. For the box jumps, perform box step-ups. For the overhead walking lunges, perform walking lunges with no weight.


Intermediate option:

For time:

Run 2 miles


Rest 2 minutes


20 squat cleans

20 box jumps

20 overhead walking lunges with a plate

20 box jumps

20 squat cleans


Rest 2 minutes


Run 2 miles


♀ 
65
-lb barbell, 20-inch box, 
15
-lb plate

♂ 
95
-lb barbell, 24-inch box, 
25
-lb plate


Beginner option:

For time:


800-meter
 run


Rest 2 minutes


15 hang
 squat cleans


15
 box 
step-ups

20 
walking lunge steps


15
 box 
step-ups


15 hang
 squat cleans


Rest 2 minutes


800-meter
 run


♀ 
35
-lb barbell and a 
12
-inch box

♂ 
45
-lb barbell and a 
20
-inch box


Coaching cues:

During the overhead walking lunges, press the plate into the sky. Think about the biceps being in line with the ears as you press up and pull back on the plate.


Resources:


Pose Running Drills | Lean and Pull


The Squat Clean


The Box Jump


The Plate Overhead Walking Lunge


The Hang Squat Clean


The Box Step-Up


Find a gym near you:


View the CrossFit map","ROUNDS_FOR_TIME","[{'reps': None, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Run 2 Miles', 'movement_id': 453, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'unknown'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Squat Cleans', 'movement_id': 500, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Box Jumps', 'movement_id': 482, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Walking Lunge', 'movement_id': 6, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Box Jumps', 'movement_id': 482, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Squat Cleans', 'movement_id': 500, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': None, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Run 2 Miles', 'movement_id': 453, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'unknown'}, {'reps': 111229, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': None, 'movement_id': None, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}]","","","{}","['crossfit', 'scraped']","1","0.69","1.6","60","{'full_body': 4, 'quadriceps': 3, 'glutes': 0.5, 'hamstrings': 0.5}","{'full_body': 2.4, 'quadriceps': 1.7999999999999998, 'glutes': 0.3, 'hamstrings': 0.3}","102","306","21.11"
"122","CrossFit Thursday 260108","Rounds: 3

:

Today's workout is a longer-duration couplet. Expect your legs to feel heavy after the air squats, so push yourself to start moving on the run to get them loosened up. Aim to finish the runs in 5 minutes or less. If you can complete an entire round in under 8 minutes, complete this workout as prescribed.


Intermediate option:

3 rounds for time of:


600-meter
 run


60
 air squats


Beginner option:

3 rounds for time of:


400
-meter run


25
 air squats


Resources:


Running | Pulling in Place Drill


The Air Squat


Find a gym near you:


View the CrossFit map","ROUNDS_FOR_TIME","[{'reps': None, 'distance_meters': 800, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Run', 'movement_id': 389, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'distance'}, {'reps': 80, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Air Squats', 'movement_id': 376, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}]","3","","{}","['crossfit', 'scraped']","1","0.69","1.6","60","{'full_body': 3, 'quadriceps': 3}","{'full_body': 1.7999999999999998, 'quadriceps': 1.7999999999999998}","243","729","50.3"
"148","CrossFit Wednesday 251224","Rounds: 12

:

Today’s workout is all bodyweight movements. Scale the difficulty of each element so you can keep moving and perform the reps of each movement unbroken — more moving and less hook-gripping your shorts.


Scaling:

The exercises with the most reps are push-ups through jumping lunges — anywhere from 36 to 42 reps. Reduce the reps as needed or only perform the even rounds (i.e., in Round 1, perform 2 candlesticks, then 1 inchworm. In Round 2, complete 4 knee push-ups, 3 burpees, 2 candlesticks, then 1 inchworm. Continue adding two new exercises each even round).


To reduce the complexity of these bodyweight movements, reduce the range of motion. For example, on the wall walks, only take two steps toward the wall or perform inchworms. On the burpees, perform up-downs. On the handstand push-ups, perform dumbbell shoulder presses or pike push-ups. And for the single-leg squats, use a higher target, air squats, or even a narrow-stance air squat.


In case of injury or limitation, substitute equipment to preserve the movement function as much as possible, or choose an alternative suitable for your situation.


Intermediate option:

Same as Rx’d.


Beginner option:

12 rounds for time, starting with 1 and adding an exercise each round:

1 
inchworm

2 candlestick rocks

3 burpees

4 push-ups 
from the knees

5 walking lunges

6 air squats

7 sit-ups

8 jumping squats

9 jumping lunges

10 broad jumps

11 
dumbbell shoulder presses

12 
box step-ups


♀ 
10-lb dumbbell, 12-inch box

♂ 
15-lb dumbbell, 20-inch box


Perform the workout like the ""12 Days of Christmas"" song. In Round 1, perform 1 inchworm. In Round 2, perform 2 candlesticks, then 1 inchworm. In Round 3, perform 3 burpees, 2 candlesticks, then 1 inchworm. Continue adding a new exercise each round.


Coaching cues:

As you lower yourself to the bottom of an air squat, think about grabbing the floor with your toes and “screwing” your feet into the ground. This will keep your knees tracking your toes and your entire foot in contact with the ground.


Resources:


The Wall Walk


Candlestick Conditioning Drills


The Burpee


The Push-Up


The Walking Lunge


The Air Squat


The AbMat Sit-Up


The Jumping Squat


Jumping Lunge Tips


The Broad Jump


The Kipping Handstand Push-Up


The Single-Leg Squat


Push-Up From the Knees


The Dumbbell Press


The Box Step-Up


Find a gym near you:


View the CrossFit map","ROUNDS_FOR_TIME","[{'reps': 1, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Wall Walk', 'movement_id': 395, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 2, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Candlestick Rocks', 'movement_id': 381, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 3, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Burpees', 'movement_id': 379, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 4, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'push ups', 'movement_id': 410, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 5, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Walking Lunges', 'movement_id': 503, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 6, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Air Squats', 'movement_id': 376, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 7, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'sit ups', 'movement_id': 414, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 8, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Jumping Squats', 'movement_id': 388, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 9, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Jumping Lunges', 'movement_id': 387, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 10, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Broad Jumps', 'movement_id': 483, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 11, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'handstand push ups', 'movement_id': 405, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 12, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Single Leg Squats', 'movement_id': 498, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 241225, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': None, 'movement_id': None, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}]","12","","{}","['crossfit', 'scraped']","1","0.69","1.6","60","{'full_body': 108, 'quadriceps': 36}","{'full_body': 64.80000000000001, 'quadriceps': 21.599999999999998}","936","2808","193.75"
"152","CrossFit Monday 251222","Rounds: 3

:

Today’s effort is three individual mile runs. Compare each mile to your split times of the most recent 5K run two weeks ago. The goal is to push the pace on each mile faster than those splits. The rest between sets should allow you to recover enough to push each effort.


Scaling:

To reduce the volume of this effort, cut the distances in half.


Today is a day when most athletes can perform this as prescribed. However, if you are new or less experienced, complete the beginner option.


In case of injury or limitation, perform 3,500/5,000 meters on the Echo bike or 1,600/2,000 meters on the rower.


Intermediate option:

Same as Rx’d.


Beginner option:

3 rounds, each for time:


800
-meter run


Rest 5 minutes between efforts.


Coaching cues:

Check your running posture — relax your shoulders, keep your torso upright, and set your gaze directly ahead of you. Maintaining a neutral spine and sound running posture will allow for more efficient running technique, reduced fatigue, and improved recovery.


Resources:


Running | Change in Support Drill


Running | Falling Forward


Running | Line Drills


Running | Partner Falling Drill


Running Drills | High Knees and Butt Kickers


Find a gym near you:


View the CrossFit map","ROUNDS_FOR_TIME","[{'reps': None, 'distance_meters': 1600, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Run', 'movement_id': 389, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'distance'}]","3","","{}","['crossfit', 'scraped']","1","0.69","0.72","60","{'full_body': 3}","{'full_body': 1.7999999999999998}","3","9","0.62"
"136","CrossFit Wednesday 251231",":

Happy New Year's Eve! Today’s workout is a Hero. If you have completed this workout in the past, look at your previous score to help navigate today’s attempt. Before the start of this workout, take a brief moment to remember why you are doing it — everybody has their own reasons. As always with a Hero workout, this is going to be a grind. Choose movement variations and loadings that allow you to keep moving.


Scaling:

Reduce the loading of the barbell and plate. Reduce the distance of each run. Reduce the reps of each movement.


To reduce the complexity of the squat cleans, perform a hang squat clean. For the box jumps, reduce the height of the box. For the overhead walking lunges, perform walking lunges with a single dumbbell in the goblet position.


In case of injury or limitation, for the run, perform 3,200/4,000 meters on the rower or ski erg or 7,000/10,000 meters on the Echo bike. For the squat cleans, perform power cleans, plus a front squat, or power cleans if there is a squatting limitation. For the box jumps, perform box step-ups. For the overhead walking lunges, perform walking lunges with no weight.


Intermediate option:

For time:

Run 2 miles


Rest 2 minutes


20 squat cleans

20 box jumps

20 overhead walking lunges with a plate

20 box jumps

20 squat cleans


Rest 2 minutes


Run 2 miles


♀ 
65
-lb barbell, 20-inch box, 
15
-lb plate

♂ 
95
-lb barbell, 24-inch box, 
25
-lb plate


Beginner option:

For time:


800-meter
 run


Rest 2 minutes


15 hang
 squat cleans


15
 box 
step-ups

20 
walking lunge steps


15
 box 
step-ups


15 hang
 squat cleans


Rest 2 minutes


800-meter
 run


♀ 
35
-lb barbell and a 
12
-inch box

♂ 
45
-lb barbell and a 
20
-inch box


Coaching cues:

During the overhead walking lunges, press the plate into the sky. Think about the biceps being in line with the ears as you press up and pull back on the plate.


Resources:


Pose Running Drills | Lean and Pull


The Squat Clean


The Box Jump


The Plate Overhead Walking Lunge


The Hang Squat Clean


The Box Step-Up


Find a gym near you:


View the CrossFit map","ROUNDS_FOR_TIME","[{'reps': None, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Run 2 Miles', 'movement_id': 453, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'unknown'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Squat Cleans', 'movement_id': 500, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Box Jumps', 'movement_id': 482, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Walking Lunge', 'movement_id': 6, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Box Jumps', 'movement_id': 482, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Squat Cleans', 'movement_id': 500, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': None, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Run 2 Miles', 'movement_id': 453, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'unknown'}, {'reps': 111229, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': None, 'movement_id': None, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}]","","","{}","['crossfit', 'scraped']","1","0.69","1.6","60","{'full_body': 4, 'quadriceps': 3, 'glutes': 0.5, 'hamstrings': 0.5}","{'full_body': 2.4, 'quadriceps': 1.7999999999999998, 'glutes': 0.3, 'hamstrings': 0.3}","102","306","21.11"
"153","CrossFit Sunday 251221","Rounds: 5

:

Today’s workout combines a movement with an extensive range of motion with two static holds. Expect this effort to be more metabolic than you think it might be. The thruster weight should be relatively light and allow you to perform your reps unbroken. For the holds, choose variations that allow you to complete both in 3 sets or fewer. Perform the handstand hold against a wall.


Scaling:

Reduce the load of the barbell. Reduce the duration of the holds.
To reduce the complexity of the thrusters, perform the movement with a pair of dumbbells.


For the L-sit holds, bend the knees of one or both legs. For the handstand holds, perform pike holds or plank holds.


In case of injury or limitation, for the thrusters, perform single-arm dumbbell thrusters. If there is an overhead limitation, perform front squats. If there is a squatting limitation, perform push presses. For the L-sit holds, perform seated leg-raise holds. For the handstand holds, perform seated dumbbell shoulder press holds with one or two dumbbells.


Intermediate option:

5 rounds for time of:

10 thrusters

20-second L-sit hold, 
both knees bent

30-second handstand hold


♀ 
55
 lb

♂ 
75
 lb


Beginner option:

5 rounds for time of:

10 thrusters


15-second seated leg-raise hold, both legs bent


20-second overhead plate hold


♀ 
35-lb barbell and a 10-lb plate

♂ 
45-lb barbell and a 15-lb plate


Coaching cues:

To increase the thrusters' cycle rate, pull the barbell down from the overhead position. As soon as the barbell touches the shoulders, begin your next rep.


Resources:


The Thruster


The L-Sit


Handstand | Kicking Up to a Wall


L-Sit Variations


Handstand Hold Progression


Find a gym near you:


View the CrossFit map","ROUNDS_FOR_TIME","[{'reps': 10, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Thrusters', 'movement_id': 393, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': None, 'distance_meters': None, 'duration_seconds': 20, 'rest_seconds': None, 'notes': None, 'movement_name': 'L sit hold', 'movement_id': 399, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'time'}, {'reps': None, 'distance_meters': None, 'duration_seconds': 30, 'rest_seconds': None, 'notes': '(♀ 65 lb) (♂ 95 lb)', 'movement_name': 'Handstand Hold', 'movement_id': 390, 'rx_weight_male': 95.0, 'rx_weight_female': 65.0, 'metric_type': 'time'}]","5","","{}","['crossfit', 'scraped']","1","0.69","1.6","60","{'quadriceps': 5, 'full_body': 5, 'chest': 5}","{'quadriceps': 3.0, 'full_body': 3.0, 'chest': 3.0}","60","400","27.6"
"138","CrossFit Tuesday 251230",":

Today is a heavy day. Keep in mind that heavy is relative to each athlete's capacity and experience. Look at your previous attempt to help navigate today’s workout. As long as you are working to your limits, you will benefit from this effort. Experienced athletes should plan to go as heavy as possible across all sets as long as technique and safety are maintained. Newer athletes should start light, focus on mechanics, and slowly add weight as they are comfortable.


Scaling:

To adjust the complexity of the lift, consider performing the movement with a pair of dumbbells or completing shoulder presses.


In case of an injury or limitation, consider using a single dumbbell or kettlebell. If you are unable to add load, consider handstand push-ups, pike push-ups, or push-ups.


Intermediate option:

Same as Rx’d.


Beginner option:

Same as Rx’d.


Coaching cues:

In an attempt to keep your torso more vertical in the dip-and-drive phase of the push press, visualize yourself keeping your shoulders and hips against a wall as you dip and drive.


Resources:


The Push Press


Find a gym near you:


View the CrossFit map","LADDER","[{'reps': None, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': 'Rep scheme: 5-5-3-3-3-1-1-1-1', 'movement_name': 'One-Arm Kettlebell Push Press', 'movement_id': 221, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}]","","","{}","['crossfit', 'scraped']","1","0.66","0.24","58","{'full_body': 1, 'calves': 0.5, 'quadriceps': 0.5, 'triceps': 0.5}","{'full_body': 0.6, 'calves': 0.3, 'quadriceps': 0.3, 'triceps': 0.3}","1","3","0.2"
"107","CrossFit Saturday 260117","Rounds: 10

:

Today, you'll take on 10 sprint-style efforts with a short break after each round. The loading for the workout is up to you, so choose a weight for the sandbag carry that is challenging but will allow for unbroken sets for all 10 rounds. If there is no sandbag available, perform the carry with two kettlebells in the rack position. Complete the Echo bike calories in 45 seconds or less each round; scale volume if needed to do so. Push the pace from the start.


Intermediate option:

Same as Rx'd.


Beginner option:

7 rounds for time of:

60-foot 
medicine-ball
 bear-hug carry


5/7
-calorie Echo bike


Rest 1 minute between rounds.


Resources:


The Sandbag Bear-Hug Carry


From the Archives: Sandbag Training


The Rogue Echo Bike


Find a gym near you:


View the CrossFit map","ROUNDS_FOR_TIME","[{'reps': None, 'distance_meters': 18, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'sandbag bear hug carry', 'movement_id': 412, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'distance'}, {'reps': 7, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': 'Calories: M 7 / F 10', 'movement_name': 'Echo Bike', 'movement_id': 438, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'calories'}]","10","","{}","['crossfit', 'scraped']","1","0.69","1.6","60","{'full_body': 20}","{'full_body': 12.0}","80","240","16.56"
"109","CrossFit Friday 260116","Time Cap: 20 min

:

Today, you'll take on Open Workout 20.2. If you have completed this workout before, check your previous score. This workout consists of short and quick rounds. This means it's easy to come out at a fast pace and burn out too soon. Move at a consistent pace that allows for 1-2 minutes per round in the first half of the workout. Choose dumbbells that allow you to consistently perform 4 quality reps at a time. Scale double-unders to timed attempts or single-unders if needed to finish in less than 30 seconds. If you have done this workout before, tackle the toes-to-bars however you need to in order to improve your score. For all others, shoot to perform the 6 reps done in 1-2 smooth sets every round.


Intermediate option:

Complete as many rounds and reps as possible in 20 minutes of:

4 dumbbell thrusters

6 
knees-to-armpits


30 seconds
 of double-unders


♀ 
20
-lb dumbbells

♂ 
35
-lb dumbbells


Beginner option:

Complete as many rounds and reps as possible in 20 minutes of:

4 dumbbell thrusters

6 
hanging knee raises

24 
single-unders


♀ 
10
-lb dumbbells

♂ 
15
-lb dumbbells


Resources:


The Dumbbell Thruster


The Kipping Toes-to-Bar


The Double-Under


The Kipping Hanging Knee Raise


The Single-Under


Find a gym near you:


View the CrossFit map","AMRAP","[{'reps': 4, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': '(♀ 35-lb dumbbells) (♂ 50-lb dumbbells)', 'movement_name': 'Dumbbell Thrusters', 'movement_id': 385, 'rx_weight_male': 50.0, 'rx_weight_female': 35.0, 'metric_type': 'reps'}, {'reps': 6, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'toes to bars', 'movement_id': 415, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 24, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'double unders', 'movement_id': 403, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 220102, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': None, 'movement_id': None, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}]","","","{}","['crossfit', 'scraped']","1","0.69","1.6","56","{'quadriceps': 1, 'full_body': 2}","{'quadriceps': 0.6, 'full_body': 1.2}","34","102","7.04"
"110","CrossFit Thursday 260115","Rounds: 2

:

This workout will challenge endurance and lower-body stamina with a variety of unilateral movements. Expect the movement redundancy to lead to a substantial amount of lower-body muscular fatigue. On the rower, plan to move at a steady pace to complete each set in under 2 minutes. The single-leg squats will likely be the most demanding part of this workout. Expect the step-ups to be time-consuming. The goal is working at a consistent pace and trying to complete each set of 90  reps in under 4:30.


Intermediate option:

2 rounds for time of:

20/25-calorie row*


20
 single-leg squats, 
hook behind the heel

20/25-calorie row*

90 box step-ups


*Complete the calories on any machine.


♀ 20-inch box

♂ 24-inch box


Beginner option:
 
2 rounds 
for reps
 of:


2-minute max-calorie row


2-minute max reverse lunges


2-minute max-calorie row


2-minute max box step-ups


Perform no more than 30 reverse lunges in each interval.


♀ 
12
-inch box

♂ 
18
-inch box


Resources:


Rowing


The Single-Leg Squat


The Box Step-Up


Single-Leg Squat Scaling


Find a gym near you:


View the CrossFit map","EMOM","[{'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': 'Calories: M 20 / F 25', 'movement_name': 'Row', 'movement_id': 496, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'calories'}, {'reps': 30, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'Single Leg Squats', 'movement_id': 498, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}, {'reps': 20, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': 'Calories: M 20 / F 25', 'movement_name': 'Row', 'movement_id': 496, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'calories'}, {'reps': 90, 'distance_meters': None, 'duration_seconds': None, 'rest_seconds': None, 'notes': None, 'movement_name': 'box step ups', 'movement_id': 401, 'rx_weight_male': None, 'rx_weight_female': None, 'metric_type': 'reps'}]","2","","{}","['crossfit', 'scraped']","1","0.6","1.6","52","{'lats': 4, 'quadriceps': 2, 'full_body': 2}","{'lats': 2.4, 'quadriceps': 1.2, 'full_body': 1.2}","320","960","57.6"
