"id","name","pattern","primary_muscle","primary_region","secondary_muscles","cns_load","skill_level","compound","is_complex_lift","is_unilateral","metric_type","discipline_tags","equipment_tags","description","coaching_cues","substitution_group","user_id","primary_discipline","tags","fatigue_factor","stimulus_factor","injury_risk_factor","min_recovery_hours"
"40","Pallof Press","rotation","core","anterior upper","['obliques']","low","beginner","False","False","True","reps","['athleticism', 'rehabilitation']","['cable', 'band']","","[]","anti_rotation","","All","[]","0.19999999999999998","0.5","0.30000000000000004","12"
"41","Hanging Leg Raise","core","core","anterior upper","['hip_flexors']","low","intermediate","False","False","False","reps","['calisthenics']","['pull_up_bar']","","[]","hanging_leg_raise","","All","[]","0.19999999999999998","0.5","0.4","12"
"42","Ab Wheel Rollout","core","core","anterior upper","['lats', 'front_delts']","low","intermediate","False","False","False","reps","['calisthenics', 'strength']","['ab_wheel']","","[]","rollout","","All","[]","0.19999999999999998","0.5","0.4","12"
"43","Box Jump","plyometric","quadriceps","anterior lower","['glutes', 'calves']","high","intermediate","True","False","False","reps","['athleticism', 'explosiveness']","['plyo_box']","","[]","box_jump","","All","[]","0.7999999999999999","0.95","0.4","48"
"44","Broad Jump","plyometric","glutes","posterior lower","['quadriceps', 'hamstrings']","high","intermediate","True","False","False","distance","['athleticism', 'explosiveness']","['bodyweight']","","[]","broad_jump","","All","[]","0.7999999999999999","0.95","0.4","48"
"45","Depth Jump","plyometric","quadriceps","anterior lower","['glutes', 'calves']","very_high","advanced","True","False","False","reps","['athleticism', 'explosiveness']","['plyo_box']","","[]","depth_jump","","All","[]","1.0","0.95","0.6","72"
"46","Medicine Ball Slam","plyometric","core","full body","['lats', 'front_delts']","moderate","beginner","True","False","False","reps","['athleticism', 'explosiveness']","['medicine_ball']","","[]","med_ball_slam","","All","[]","0.6","0.8","0.2","48"
"216","Oblique Crunches","core","core","full body","[]","moderate","intermediate","False","False","False","time","['strength']","['none']","","['Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put one hand beside your head and the other to the side against the floor.', 'Make sure your feet are elevated and resting on a flat surface.', 'Now lift the shoulder in which your hand is touching your head.', 'Simply elevate your shoulder and body upward until you touch your knee. For example, if you have your right hand besides your head, then you want to elevate your body upwards until your right elbow touches your left knee. The same variation can be applied doing the inverse and using your left elbow to touch your right knee.', 'After your knee touches your elbow, lower your body until you have reached the starting position.', 'Remember to breathe in during the eccentric (lowering) part of the exercise and to breathe out during the concentric (upward) part of the exercise.', 'Continue alternating in this manner until all of the recommended repetitions for each side have been completed.']","oblique_crunches","","All","[]","0.4","0.6","0.4","24"
"217","Oblique Crunches - On The Floor","core","core","full body","[]","moderate","intermediate","False","False","False","time","['strength']","['none']","","['Start out by lying on your right side with your legs lying on top of each other. Make sure your knees are bent a little bit.', 'Place your left hand behind your head.', 'Once you are in this set position, begin by moving your left elbow up as you would perform a normal crunch except this time the main emphasis is on your obliques.', 'Crunch as high as you can, hold the contraction for a second and then slowly drop back down into the starting position.', 'Remember to breathe in during the eccentric (lowering) part of the exercise and to breathe out during the concentric (elevation) part of the exercise.']","oblique_crunches_on_the_floor","","All","[]","0.4","0.6","0.4","24"
"218","One-Arm High-Pulley Cable Side Bends","isolation","core","full body","[]","moderate","intermediate","False","False","False","reps","['strength']","['cable']","","['Connect a standard handle to a tower. Move cable to highest pulley position.', 'Stand with side to cable. With one hand, reach up and grab handle with underhand grip.', 'Pull down cable until elbow touches your side and the handle is by your shoulder.', 'Position feet hip-width apart. Place free hand on hip to help gauge pivot point.', 'Keep arm in static position. Contract oblique to bring the weight down in a side crunch.', 'Once you reach maximum contraction, slowly release the weight to the starting position. The weight stack should never be unloaded in a resting position. The aim is constant tension during the set.', 'Repeat to failure.', 'Then, reposition and repeat the same series of movements on the opposite side.']","one_arm_high_pulley_side_bends","","Bodybuilding","[]","0.4","0.6","0.4","24"
"219","One-Arm Kettlebell Military Press To The Side","vertical_push","full_body","full body","['triceps']","moderate","intermediate","True","False","False","reps","['strength']","['kettlebell']","","['Clean a kettlebell to your shoulder. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces inward. This will be your starting position.', 'Look at the kettlebell and press it up and out until it is locked out overhead.', 'Lower the kettlebell back to your shoulder under control and repeat. Make sure to contract your lat, butt, and stomach forcefully for added stability and strength.']","one_arm_military_press_to_the_side","","All","[]","0.6","0.8","0.4","48"
"220","One-Arm Kettlebell Para Press","isolation","full_body","full body","['triceps']","moderate","intermediate","True","False","False","reps","['strength']","['kettlebell']","","['Clean a kettlebell to your shoulder. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward. This will be your starting position.', 'Hold the kettlebell with the elbow out to the side, and press it up and out until it is locked out overhead.', 'Lower the kettlebell back to your shoulder under control and repeat. Make sure to contract your lat, butt, and stomach forcefully for added stability and strength.']","one_arm_para_press","","Bodybuilding","[]","0.6","0.8","0.4","48"
"221","One-Arm Kettlebell Push Press","isolation","full_body","full body","['calves', 'quadriceps', 'triceps']","moderate","intermediate","True","False","False","reps","['strength']","['kettlebell']","","['Hold a kettlebell by the handle. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward. This will be your starting position.', 'Dip your body by bending the knees, keeping your torso upright.', ""Immediately reverse direction, driving through the heels, in essence jumping to create momentum. As you do so, press the kettlebell overhead to lockout by extending the arms, using your body's momentum to move the weight. Lower the weight to perform the next repetition.""]","one_arm_push_press","","Bodybuilding","[]","0.6","0.8","0.4","48"
"101","Butt Lift (Bridge)","lunge","glutes","posterior lower","['hamstrings']","moderate","intermediate","False","False","False","reps","['strength']","['none']","","['Lie flat on the floor on your back with the hands by your side and your knees bent. Your feet should be placed around shoulder width. This will be your starting position.', 'Pushing mainly with your heels, lift your hips off the floor while keeping your back straight. Breathe out as you perform this part of the motion and hold at the top for a second.', 'Slowly go back to the starting position as you breathe in.']","butt_lift","","All","[]","0.4","0.6","0.4","24"
