"id","user_id","start_date","duration_weeks","goal_1","goal_2","goal_3","goal_weight_1","goal_weight_2","goal_weight_3","split_template","days_per_week","progression_style","hybrid_definition","disciplines_json","deload_every_n_microcycles","persona_tone","persona_aggression","is_active","created_at","is_template","visibility","name","macro_cycle_id","max_session_duration"
"1","1","2026-01-15","12","STRENGTH","EXPLOSIVENESS","ENDURANCE","3","3","4","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 6}, {'discipline': 'calisthenics', 'weight': 4}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 22:11:12.933415","False","PRIVATE","","","60"
"2","1","2026-01-15","12","STRENGTH","EXPLOSIVENESS","ENDURANCE","3","4","3","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'calisthenics', 'weight': 4}, {'discipline': 'crossfit', 'weight': 5}, {'discipline': 'olympic_lifting', 'weight': 1}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 22:59:25.475257","False","PRIVATE","","","60"
"3","1","2026-01-16","12","STRENGTH","EXPLOSIVENESS","ENDURANCE","3","2","5","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'calisthenics', 'weight': 4}, {'discipline': 'crossfit', 'weight': 6}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 23:12:27.185235","False","PRIVATE","","","60"
"4","1","2026-01-16","12","STRENGTH","EXPLOSIVENESS","ENDURANCE","3","2","5","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'calisthenics', 'weight': 4}, {'discipline': 'crossfit', 'weight': 6}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 23:12:34.266427","False","PRIVATE","","","60"
"5","1","2026-01-16","12","STRENGTH","EXPLOSIVENESS","ENDURANCE","3","2","5","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'calisthenics', 'weight': 4}, {'discipline': 'crossfit', 'weight': 6}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 23:12:44.351233","False","PRIVATE","","","60"
"6","1","2026-01-16","12","STRENGTH","ENDURANCE","EXPLOSIVENESS","4","4","2","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 5}, {'discipline': 'calisthenics', 'weight': 4}, {'discipline': 'powerlifting', 'weight': 1}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 23:13:46.255168","False","PRIVATE","","","60"
"7","1","2026-01-16","12","STRENGTH","ENDURANCE","EXPLOSIVENESS","4","4","2","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 5}, {'discipline': 'calisthenics', 'weight': 4}, {'discipline': 'powerlifting', 'weight': 1}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 23:13:50.626456","False","PRIVATE","","","60"
"8","1","2026-01-16","12","STRENGTH","ENDURANCE","EXPLOSIVENESS","4","4","2","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 5}, {'discipline': 'calisthenics', 'weight': 4}, {'discipline': 'powerlifting', 'weight': 1}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 23:14:00.836709","False","PRIVATE","","","60"
"43","1","2026-01-20","8","HYPERTROPHY","STRENGTH","ENDURANCE","5","5","0","FULL_BODY","3","DOUBLE_PROGRESSION","","[{'discipline': 'bodybuilding', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 00:20:28.606522","False","PRIVATE","Debug Program","","60"
"9","1","2026-01-16","12","STRENGTH","ENDURANCE","EXPLOSIVENESS","4","4","2","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 5}, {'discipline': 'calisthenics', 'weight': 4}, {'discipline': 'powerlifting', 'weight': 1}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 23:15:34.034674","False","PRIVATE","","","60"
"10","1","2026-01-16","8","STRENGTH","HYPERTROPHY","ENDURANCE","5","5","0","FULL_BODY","3","DOUBLE_PROGRESSION","","","4","SUPPORTIVE","BALANCED","False","2026-01-15 23:21:30.860797","False","PRIVATE","","","60"
"11","1","2026-01-16","12","STRENGTH","FAT_LOSS","ENDURANCE","3","4","3","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 4}, {'discipline': 'powerlifting', 'weight': 2}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 23:23:32.197326","False","PRIVATE","My New Program","","60"
"12","1","2026-01-16","12","STRENGTH","FAT_LOSS","ENDURANCE","3","4","3","FULL_BODY","5","DOUBLE_PROGRESSION","","[{'discipline': 'crossfit', 'weight': 4}, {'discipline': 'calisthenics', 'weight': 4}, {'discipline': 'powerlifting', 'weight': 2}]","4","SUPPORTIVE","BALANCED","False","2026-01-15 23:23:43.249010","False","PRIVATE","","","60"
