name,pattern,fatigue,stimulus,risk,recovery
Back Squat,squat,1.0,0.95,0.4,72
Front Squat,squat,0.7999999999999999,0.95,0.6,48
Goblet Squat,squat,0.6,0.8,0.2,48
Pistol Squat,squat,0.6,0.8,0.9,48
Bulgarian Split Squat,lunge,0.6,0.8,0.5,48
Walking Lunge,lunge,0.6,0.8,0.30000000000000004,48
Conventional Deadlift,hinge,1.0,0.95,0.4,72
Romanian Deadlift,hinge,0.7999999999999999,0.95,0.4,48
Single Leg Romanian Deadlift,hinge,0.6,0.8,0.5,48
Hip Thrust,hinge,0.6,0.8,0.2,48
Good Morning,hinge,0.7999999999999999,0.95,0.6,48
Kettlebell Swing,hinge,0.6,0.8,0.4,48
Barbell Bench Press,horizontal_push,0.7999999999999999,0.95,0.4,48
Incline Bench Press,horizontal_push,0.7999999999999999,0.95,0.4,48
Dumbbell Chest Press,horizontal_push,0.6,0.8,0.2,48
Push-Up,horizontal_push,0.4,0.8,0.2,24
Dip,horizontal_push,0.6,0.8,0.4,48
Overhead Press,vertical_push,0.7999999999999999,0.95,0.4,48
Dumbbell Shoulder Press,vertical_push,0.6,0.8,0.2,48
Pike Push-Up,vertical_push,0.4,0.8,0.4,24
Handstand Push-Up,vertical_push,0.6,0.8500000000000001,1.0,48
Barbell Row,horizontal_pull,0.7999999999999999,0.95,0.4,48
Single Arm Row,horizontal_pull,0.6,0.8,0.30000000000000004,48
Seated Cable Row,horizontal_pull,0.6,0.8,0.2,48
Inverted Row,horizontal_pull,0.4,0.8,0.2,24
Pull-Up,vertical_pull,0.6,0.8,0.4,48
Chin-Up,vertical_pull,0.6,0.8,0.4,48
Lat Pulldown,vertical_pull,0.4,0.8,0.2,24
Muscle-Up,vertical_pull,0.7999999999999999,1.0,1.0,48
farmers carry,carry,0.6,0.8,0.4,48
GHD sit ups,core,0.6,0.8,0.4,48
L sit hold,isometric,0.6,0.8,0.4,48
Rowing Machine,cardio,0.6,0.8,0.4,48
Farmer's Carry,carry,0.6,0.8,0.2,48
Suitcase Carry,carry,0.6,0.8,0.30000000000000004,48
